,bat,runs,balls,dismissals,avg,rpo
126,Dawlat Zadran,0,1,,,0.0
382,Qaiser Ali,0,4,,,0.0
24,Alexei Kervezee,0,1,,,0.0
32,Andre Botha,0,7,,,0.0
365,Oshane Thomas,0,1,1.0,0.0,0.0
130,Denesh Ramdin,0,4,1.0,0.0,0.0
355,Neil Broom,0,1,1.0,0.0,0.0
78,Brandon McMullen,0,2,,,0.0
447,Shaiman Anwar,0,2,,,0.0
348,Narsingh Deonarine,0,1,,,0.0
345,Naeem Islam,0,2,,,0.0
341,Mudassar Bukhari,0,2,,,0.0
336,Mohammed Siraj,0,2,,,0.0
334,Mohammad Yousuf,0,3,,,0.0
133,Devendra Bishoo,0,2,1.0,0.0,0.0
315,Michael Levitt,0,2,,,0.0
104,Colin Ingram,0,1,,,0.0
292,Marcus Stoinis,0,2,1.0,0.0,0.0
142,Dom Joyce,0,1,1.0,0.0,0.0
27,Ambati Rayudu,0,1,,,0.0
481,Sunil Dhamala,0,0,,,
270,Laxman Sreekumar,0,1,,,0.0
256,Kinchit Shah,0,1,,,0.0
493,Thilan Samaraweera,0,1,1.0,0.0,0.0
243,Justin Greaves,0,2,,,0.0
83,Brian Lara,0,1,,,0.0
