,bat,runs,balls,dismissals,avg,rpo
17,Adrian Barath,7,8,,,5.25
722,Trent Johnston,7,4,,,10.5
176,Devon Smith,7,22,2.0,3.5,1.91
367,Kuldeep Yadav,7,7,1.0,7.0,6.0
381,Lakshan Sandakan,7,9,2.0,3.5,4.67
679,Tadiwanashe Marumani,7,5,,,8.4
124,Charlie Tear,7,15,,,2.8
465,Mohammed Siraj,7,8,,,5.25
663,Steven Finn,7,7,1.0,7.0,6.0
684,Tanwir Afzal,7,6,,,7.0
52,Andrew Tye,7,6,,,7.0
297,Jason Kila,7,7,,,6.0
300,Jasprit Bumrah,7,4,1.0,7.0,10.5
270,Irfan Ahmed,7,2,,,21.0
503,Nitish Kumar,7,6,,,7.0
